127.0.0.1 - - [30/Jul/2018:06:10:16 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:10:16 +0100] "GET /chatapp/ChatServlet HTTP/1.1" 405 1108
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:10:24 +0100] "GET /chatapp/ HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:10:34 +0100] "GET /chat.jsp/ HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:10:59 +0100] "GET /login.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:39 +0100] "GET /chatapp/login.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:39 +0100] "GET /chatapp/login.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:40 +0100] "GET /chatapp/login.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:40 +0100] "GET /chatapp/login.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:45 +0100] "POST /chatapp/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:45 +0100] "GET /chatapp/chat.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:11:47 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:04 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:08 +0100] "POST /chatapp/chatServlet HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:16 +0100] "GET /chatapp/login.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:19 +0100] "POST /chatapp/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:20 +0100] "GET /chatapp/chat.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:24 +0100] "POST /chatapp/ChatServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:06:12:24 +0100] "GET /chatapp/chat.jsp HTTP/1.1" 200 602
